dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-7.00,-6.50,9.401773e-13,9.401773e-13,9.401773e-13,9.401773e-13,9.401773e-13,9.401773e-13,9.401773e-13,9.401773e-13,9.401773e-13,3.437e-15,1.289e-15,9.451e-15,1.718e-15,6.659e-15,2.363e-15,3.437e-15,4.940e-15,1.504e-08
-7.00,-6.00,9.401800e-13,9.401759e-13,9.401747e-13,9.401799e-13,9.401799e-13,9.401800e-13,9.401800e-13,9.401800e-13,9.401800e-13,4.292e-06,5.579e-06,7.500e-08,8.845e-08,5.529e-09,3.456e-10,2.160e-11,8.377e-15,1.795e-08
-7.00,-5.50,9.401719e-13,9.401719e-13,9.401719e-13,9.401719e-13,9.401719e-13,9.401719e-13,9.401719e-13,9.401719e-13,9.401719e-13,9.451e-15,9.451e-15,1.246e-14,7.518e-15,1.310e-14,5.370e-15,1.203e-14,1.267e-14,2.166e-08
-7.00,-5.00,9.401834e-13,9.401834e-13,9.401834e-13,9.401834e-13,9.401834e-13,9.401834e-13,9.401834e-13,9.401834e-13,9.401834e-13,5.800e-15,2.148e-16,1.504e-15,8.592e-16,1.289e-15,0.000e+00,2.148e-16,5.585e-15,2.434e-08
-7.00,-4.50,9.401764e-13,9.401764e-13,9.401764e-13,9.401764e-13,9.401764e-13,9.401764e-13,9.401764e-13,9.401764e-13,9.401764e-13,8.592e-16,3.007e-15,1.933e-15,1.504e-15,2.578e-15,3.437e-15,1.933e-15,4.296e-16,2.601e-08
-7.00,-4.00,9.401763e-13,9.401059e-13,9.401046e-13,9.401762e-13,9.401751e-13,9.401762e-13,9.401763e-13,9.401763e-13,9.401763e-13,7.481e-05,7.628e-05,9.073e-08,1.197e-06,7.479e-08,4.674e-09,2.921e-10,2.578e-15,3.173e-08
-7.00,-3.50,9.401774e-13,9.400740e-13,9.400726e-13,9.401773e-13,9.401758e-13,9.401773e-13,9.401774e-13,9.401774e-13,9.401774e-13,1.100e-04,1.115e-04,9.288e-08,1.748e-06,1.093e-07,6.829e-09,4.268e-10,6.444e-16,3.560e-08
-7.00,-3.00,9.401694e-13,9.401694e-13,9.401694e-13,9.401694e-13,9.401694e-13,9.401694e-13,9.401694e-13,9.401694e-13,9.401694e-13,1.933e-15,2.148e-16,1.074e-15,6.444e-16,2.148e-16,4.296e-16,2.148e-16,8.592e-16,3.369e-08
-7.00,-2.50,9.401701e-13,9.401701e-13,9.401701e-13,9.401701e-13,9.401701e-13,9.401701e-13,9.401701e-13,9.401701e-13,9.401701e-13,2.148e-15,1.504e-15,1.289e-15,1.933e-15,8.592e-16,0.000e+00,2.148e-16,1.933e-15,2.746e-08
-7.00,-2.00,9.401761e-13,9.401761e-13,9.401761e-13,9.401761e-13,9.401761e-13,9.401761e-13,9.401761e-13,9.401761e-13,9.401761e-13,2.148e-16,6.444e-16,4.296e-16,1.074e-15,3.222e-15,2.578e-15,8.592e-16,1.074e-15,2.350e-08
-7.00,-1.50,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,9.401768e-13,4.081e-15,2.363e-15,2.148e-15,1.718e-15,1.933e-15,3.222e-15,1.718e-15,1.289e-15,2.051e-08
-7.00,-1.00,9.401765e-13,9.401765e-13,9.401765e-13,9.401765e-13,9.401765e-13,9.401765e-13,9.401765e-13,9.401765e-13,9.401765e-13,8.592e-16,1.074e-15,1.933e-15,8.592e-16,0.000e+00,4.296e-16,1.718e-15,0.000e+00,1.799e-08
-7.00,-0.50,9.401841e-13,9.401841e-13,9.401841e-13,9.401841e-13,9.401841e-13,9.401841e-13,9.401841e-13,9.401841e-13,9.401841e-13,2.148e-16,4.296e-16,2.363e-15,0.000e+00,8.592e-16,2.792e-15,2.148e-15,2.148e-15,1.723e-08
